IdPoi,nombre,localizacion,fbd,IdPueblo,IdUsuario,etiquetas
236,Piscina natural de Palazuelo,0xE6100000010C01344A97FE6519C0BABDA4315ADB4440,2012-02-27 23:42:17.313,2,107,Piscina
237,Frontón Municipal,0xE6100000010CE6EAC726F96119C0AB23473A03D94440,2012-02-27 23:48:12.320,2,107,Frontón
239,Fuente Lugar,0xE6100000010C1310937021CF18C07D94111780DC4440,2012-02-28 06:38:57.790,27,7830,fuente
240,El furmiguero,0xE6100000010CA54A94BDA5CC18C081221631ECDC4440,2012-02-28 06:41:09.330,27,7830,paraje
241,Pilón Montagueime,0xE6100000010C3A7AFCDEA68F18C0E8BE9CD9AEE64440,2012-02-28 15:49:02.280,1,NULL,Pilón Huerta Lavadero Montagueime
242,La Vereda,0xE6100000010CBFB9BF7ADCB718C01F84807C09D54440,2012-02-28 22:17:40.530,42,4609,Cañada Real
243,La Vereda,0xE6100000010CF4A78DEA74B018C07A1C06F357D44440,2012-02-28 22:56:48.877,42,20212,Es cañada Real
244,Santuario Virgen de Fatima,0xE6100000010C61DF4E22C20F1AC0C9AF1F6283EF4440,2012-02-29 07:56:10.473,61,107,santuario
245,Santuario Virgen de Fatima,0xE6100000010CB2648EE55DE518C0F0A7C64B37E14440,2012-02-29 07:57:21.560,21,107,santuario
246," Pinturas pertenencientes a fragmentos de la vida de Santo Domingo de Gúzman,",0xE6100000010CAF93FAB2B44319C0F1643733FAD74440,2012-02-29 08:01:22.160,64,107,pinturas
247,Portilla Blanca (Mirador),0xE6100000010C3B53E8BCC68E19C00B0DC4B299DB4440,2012-02-29 08:22:58.223,2,107,punto geodesico
248,Frontón Municipal,0xE6100000010C6ADAC534D31D19C056F487669EDE4440,2012-02-29 16:54:42.890,37,107,pista deportiva
249,Piscina Municipal,0xE6100000010C2237C30DF81C19C0029A081B9EDE4440,2012-02-29 16:55:55.133,37,107,piscina
250,La Casa  Concejo,0xE6100000010C21CD58349DCD18C00E65A88AA9DC4440,2012-02-29 18:16:14.333,27,7830,Edificio público
251,Las peñas de La Muela,0xE6100000010CD656EC2FBB3719C0FBCE2F4AD0DB4440,2012-03-02 23:07:37.990,29,NULL,Paisaje natural
252,El Molino Matarranas,0xE6100000010C59164CFC513419C0C8EE022505DC4440,2012-03-02 23:10:34.817,29,NULL,Monumento
253,Camino Morisco,0xE6100000010C7FDDE9CE134F19C025CCB4FD2BDB4440,2012-03-02 23:13:35.653,29,NULL,"Ruta "
254,Chariz de la Fuentica,0xE6100000010C0D37E0F3C3A818C091ED7C3F35D64440,2012-03-02 23:23:17.877,42,107,fuente
255,La Ofrenda,0xE6100000010CE353008C67D018C03E42CD902ADC4440,2012-03-03 09:31:41.210,27,7830,paraje
256,Los Contabandos,0xE6100000010C446D1B4641C018C0D5EC815660DA4440,2012-03-03 09:34:30.190,27,7830,paraje
257,Botión,0xE6100000010C0CCEE0EF17B318C04B395FECBDD84440,2012-03-03 15:09:04.933,42,4609,Valle
258,Las Praderas,0xE6100000010C1A53B0C6D9B418C0E7E099D024D94440,2012-03-03 15:11:03.370,42,4609,Valle
